empresa_id,trimestre,periodo,fecha_inicio,fecha_fin,moneda,ingresos_totales_trim,ingresos_totales_acum,ingresos_seg_restaurantes_trim,ingresos_seg_restaurantes_acum,costo_ventas_trim,costo_ventas_acum,utilidad_bruta_trim,utilidad_bruta_acum,margen_bruto_pct,utilidad_operacion_trim,utilidad_operacion_acum,ebitda_trim,ebitda_acum,margen_ebitda_pct,utilidad_neta_trim,utilidad_neta_acum,gasto_financiero_neto_trim,capex_acum,deuda_total,deuda_neta,deuda_neta_ebitda_ratio,activos_totales,num_unidades_total,apertura_unidades_trim,vmt_crecimiento_pct,crecimiento_ventas_yoy_pct,ventas_digitales_pct
ALSEA,3T,2025,01/07/2025,30/09/2025,MXN,21029000,62029000,21029000,62029000,,,,,,1778000,,2881000,,13.7,512000,1916818,921000,3789000,34541000,29884000,2.5,,4818,46,4.1,5.7,37.4
GIGANTE,3T,2025,01/07/2025,30/09/2025,MXN,9811687,26976488,2226987,6548840,5847998000,15695802000,3963689,11280686,40.4,910615,2543586,1441000,3637000,,450860,1253770,373100,,9492105,,,,631,,1.7,0.5,
