empresa_id,grupo_holding,segmento,trimestre,periodo,fecha_inicio,fecha_fin,moneda,unidad,marca,num_unidades_3T25,num_unidades_ant,var_unidades,ingresos_trim_mdp,ingresos_trim_ant_mdp,var_ingresos_trim_pct,ingresos_acum_mdp,ingresos_acum_ant_mdp,var_ingresos_acum_pct,ingresos_entre_segmentos_trim,ingresos_entre_segmentos_acum,utilidad_operacion_trim_mdp,utilidad_operacion_acum_mdp,var_utilidad_op_trim_pct,activos_totales_seg_mdp,activos_totales_seg_ant_mdp,prestamos_bancarios_mdp,prestamos_bancarios_ant_mdp,depreciacion_amortizacion_acum_mdp,adiciones_activo_lp_acum_mdp,vmt_crecimiento_pct,margen_contribucion_seg_pct
GIGANTE,Grupo Toks S.A. de C.V.,Restaurantes,3T,2025,01/07/2025,30/09/2025,MXN,miles de pesos,Toks,192,193,-1,2226987,2143220,3.9,6548840,6142584,6.6,19039,61573,244243,693111,-12.3,7772728,7749203,1998570,2075850,535582,358267,1.7,10.97
GIGANTE,Grupo Toks S.A. de C.V.,Restaurantes,3T,2024,01/07/2024,30/09/2024,MXN,miles de pesos,Toks,193,,,2143220,,,6142584,,,24975,75307,278506,714179,,7749203,,2075850,,510650,302746,,
