empresa_id,razon_social,clave_bmv,sector,subsector,pais_origen,norma_contable,segmentos_negocio,presencia_geografica,marcas_principales
ALSEA,Alsea S.A.B. de C.V.,ALSEA*,Consumo Discrecional,Operador de Restaurantes,Mexico,IFRS,QSR / Cafeterias / FSR (Full Service Restaurants),"Mexico, Europa (España, Francia), Sudamerica (Argentina, Colombia, Chile, Uruguay)","Domino's Pizza, Starbucks, Burger King, Chili's, P.F. Chang's, Italianni's, The Cheesecake Factory, Vips, El Porton, Foster's Hollywood, Ginos, Fridays"
GIGANTE,Grupo Gigante S.A.B. de C.V.,GIGANTE,Consumo Discrecional / Inmobiliario,Conglomerado Multisegmento,Mexico,IFRS,Autoservicios / Restaurantes / Inmobiliario / Distribucion Prisa,"Mexico, Centroamerica, Chile","Office Depot, Toks, El Farolito, Radio Shack, Xiaomi (retail), Petco (JV), Casaideas (JV)"
